0,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950
390,1047,2227,3885,5922,7689,8904,9539,9581,10318,10129,9897,10100,9093,8079,6747,5925,4892,3902,2671
0,0,18,27,256,790,2027,3580,5084,6631,8732,10607,12625,14873,16979,19735,22346,24738,26186,26644
0,0,0,5,60,295,630,832,677,380,144,33,11,0,0,0,0,0,0,0
0,0,0,2,40,198,524,731,1024,1005,655,215,64,28,3,0,0,0,0,0
0,0,0,0,16,124,236,327,368,307,130,3,0,0,0,0,0,0,0,0
0,0,0,0,8,60,121,211,249,182,110,100,4,0,0,0,0,0,0,0
0,0,0,0,0,41,49,187,673,1111,1564,1649,1496,1001,388,83,25,2,0,0
0,0,0,0,0,32,37,62,76,57,20,0,0,0,0,0,0,0,0,0
0,0,0,0,0,12,61,187,266,239,117,140,53,6,0,0,0,0,0,0
0,0,0,0,0,25,100,268,468,545,524,336,217,58,0,0,0,0,0,0
0,0,0,0,0,9,132,385,850,1534,2848,4418,6149,8364,11122,13667,15955,17861,19208,20880
0,0,0,0,0,14,96,374,753,977,995,652,238,106,19,0,0,0,0,0
0,0,0,0,0,2,39,129,304,286,288,169,19,12,0,0,0,0,0,0
0,0,0,0,0,1,97,487,1403,2681,4252,6045,6997,7725,7407,6556,5079,3251,1867,654
0,0,0,0,0,2,90,412,911,1653,2534,2909,2777,2692,2407,2332,2244,1856,1139,529
0,0,0,0,0,0,7,35,54,22,26,19,3,0,0,0,0,0,0,0
0,0,0,0,0,0,18,114,281,320,293,267,137,8,0,0,0,0,0,0
0,0,0,0,0,0,14,59,213,470,740,804,428,178,55,0,0,0,0,0
0,0,0,0,0,0,17,147,281,474,426,284,74,7,1,0,0,0,0,0
0,0,0,0,0,0,8,109,379,462,635,540,288,55,0,0,0,0,0,0
0,0,0,0,0,0,1,6,9,59,207,345,469,535,416,212,68,51,10,10
0,0,0,0,0,0,0,47,196,467,620,919,705,314,51,0,0,0,0,0
0,0,0,0,0,0,0,22,139,242,278,242,79,7,0,0,0,0,0,0
0,0,0,0,0,0,0,36,102,354,573,784,849,444,111,13,0,0,0,0
0,0,0,0,0,0,0,7,86,228,819,1581,2574,3334,4039,4524,4347,3637,2186,1040
0,0,0,0,0,0,0,2,41,19,44,21,14,8,0,0,0,0,0,0
0,0,0,0,0,0,0,7,70,233,387,615,938,959,866,814,456,213,40,0
0,0,0,0,0,0,0,0,21,122,215,333,361,280,80,19,0,0,0,0
0,0,0,0,0,0,0,0,18,135,260,406,526,568,441,48,10,4,0,0
0,0,0,0,0,0,0,0,21,75,161,353,562,689,840,821,667,507,406,149
0,0,0,0,0,0,0,0,29,161,326,455,551,502,373,152,24,2,0,0
0,0,0,0,0,0,0,0,2,78,237,429,730,941,855,714,553,296,114,6
0,0,0,0,0,0,0,0,4,87,265,439,301,121,40,5,0,0,0,0
0,0,0,0,0,0,0,0,8,95,280,602,1062,1583,2211,2114,1565,883,308,26
0,0,0,0,0,0,0,0,3,6,12,30,34,32,33,10,0,0,0,0
0,0,0,0,0,0,0,0,1,66,304,905,1530,2240,2865,2778,2258,1550,681,125
0,0,0,0,0,0,0,0,1,23,106,322,444,453,506,356,129,58,2,0
0,0,0,0,0,0,0,0,0,14,58,33,39,65,33,12,0,0,0,0
0,0,0,0,0,0,0,0,0,59,193,551,751,866,900,882,700,348,127,25
0,0,0,0,0,0,0,0,0,19,43,13,21,6,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6,37,14,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,15,134,501,1036,1452,1548,1400,1362,1206,738,296
0,0,0,0,0,0,0,0,0,3,50,210,410,349,64,0,0,0,0,0
0,0,0,0,0,0,0,0,0,20,63,215,395,571,483,314,77,4,0,0
